"model","label","catalog_section","source","current_price","current_garage","current_required_fleet_tier","current_capacity","proposed_market_layer","proposed_branch","proposed_tier","proposed_capacity","insurance_class","maintenance_class","cash_purchase","financing","operational_rental","notes"
"sl500","1995 Mercedes-Benz SL500","civilian_import","carros_reais","48000","pillboxgarage",,"0","core_work","land","t1","4","basic_work","light_work","yes","yes","yes","Candidato a carro popular de entrega / frota urbana."
"180sx","Nissan 180SX Type-X","civilian_import","carros_reais","48000","pillboxgarage",,"0","core_work","land","t1","4","basic_work","light_work","yes","yes","yes","Candidato a carro popular de entrega / frota urbana."
"fc3s","Mazda RX7 FC3S","civilian_import","carros_reais","52000","pillboxgarage",,"0","core_work","land","t1","4","basic_work","light_work","yes","yes","yes","Candidato a carro popular de entrega / frota urbana."
"maj350","Nissan Fairlady Z Z33","civilian_import","carros_reais","52000","pillboxgarage",,"0","core_work","land","t1","4","basic_work","light_work","yes","yes","yes","Candidato a carro popular de entrega / frota urbana."
"80B4","1995 Audi Cabriolet (RS2) (B4)","civilian_import","carros_reais","55000","pillboxgarage",,"0","core_work","land","t1","4","basic_work","light_work","yes","yes","yes","Candidato a carro popular de entrega / frota urbana."
"s14","1998 Nissan Silvia K","civilian_import","carros_reais","55000","pillboxgarage",,"0","core_work","land","t1","4","basic_work","light_work","yes","yes","yes","Candidato a carro popular de entrega / frota urbana."
"gs350","Lexus GS 350","civilian_import","carros_reais","55000","pillboxgarage",,"0","core_work","land","t1","4","basic_work","light_work","yes","yes","yes","Candidato a carro popular de entrega / frota urbana."
"mk2100","Toyota Mark II JZX100","civilian_import","carros_reais","55000","pillboxgarage",,"0","core_work","land","t1","4","basic_work","light_work","yes","yes","yes","Candidato a carro popular de entrega / frota urbana."
"760li04","2004 BMW 760Li Individual (E66/PFL)","civilian_import","carros_reais","58000","pillboxgarage",,"0","core_work","land","t1","4","basic_work","light_work","yes","yes","yes","Candidato a carro popular de entrega / frota urbana."
"is350mod","2014 Lexus IS 350","civilian_import","carros_reais","62000","pillboxgarage",,"0","core_work","land","t1","4","basic_work","light_work","yes","yes","yes","Candidato a carro popular de entrega / frota urbana."
"tltypes","Acura TL Type-S","civilian_import","carros_reais","62000","pillboxgarage",,"0","core_work","land","t1","4","basic_work","light_work","yes","yes","yes","Candidato a carro popular de entrega / frota urbana."
"ap2","Honda S2000 AP2","civilian_import","carros_reais","62000","pillboxgarage",,"0","core_work","land","t1","4","basic_work","light_work","yes","yes","yes","Candidato a carro popular de entrega / frota urbana."
"nis15","Nissan Silvia S15 Spec-R","civilian_import","carros_reais","65000","pillboxgarage",,"0","core_work","land","t1","4","basic_work","light_work","yes","yes","yes","Candidato a carro popular de entrega / frota urbana."
"subwrx","2004 Subaru Impreza WRX STI","civilian_import","carros_reais","68000","pillboxgarage",,"0","core_work","land","t1","4","basic_work","light_work","yes","yes","yes","Candidato a carro popular de entrega / frota urbana."
"ns350","Nissan 350z Stardast","civilian_import","carros_reais","68000","pillboxgarage",,"0","core_work","land","t1","4","basic_work","light_work","yes","yes","yes","Candidato a carro popular de entrega / frota urbana."
"s8d2","1998 Audi S8 (D2/PFL)","civilian_import","carros_reais","72000","pillboxgarage",,"0","core_work","land","t1","4","basic_work","light_work","yes","yes","yes","Candidato a carro popular de entrega / frota urbana."
"16challenger","2016 Dodge Challenger","civilian_import","carros_reais","72000","pillboxgarage",,"0","core_work","land","t1","4","basic_work","light_work","yes","yes","yes","Candidato a carro popular de entrega / frota urbana."
"subisti08","2008 Subaru WRX STi","civilian_import","carros_reais","78000","pillboxgarage",,"0","core_work","land","t1","4","basic_work","light_work","yes","yes","yes","Candidato a carro popular de entrega / frota urbana."
"16charger","2016 Dodge Charger","civilian_import","carros_reais","78000","pillboxgarage",,"0","core_work","land","t1","4","basic_work","light_work","yes","yes","yes","Candidato a carro popular de entrega / frota urbana."
"aaq4","2017 Audi A4 Quattro ABT","civilian_import","carros_reais","78000","pillboxgarage",,"0","core_work","land","t1","4","basic_work","light_work","yes","yes","yes","Candidato a carro popular de entrega / frota urbana."
"majfd","Mazda RX-7 FD","civilian_import","carros_reais","78000","pillboxgarage",,"0","core_work","land","t1","4","basic_work","light_work","yes","yes","yes","Candidato a carro popular de entrega / frota urbana."
"audquattros","1983 Audi Quattro Sport","civilian_import","carros_reais","85000","pillboxgarage",,"0","core_work","land","t1","4","basic_work","light_work","yes","yes","yes","Candidato a carro popular de entrega / frota urbana."
"cats","2016 Cadillac ATS-V Coupe","civilian_import","carros_reais","85000","pillboxgarage",,"0","core_work","land","t1","4","basic_work","light_work","yes","yes","yes","Candidato a carro popular de entrega / frota urbana."
"tmodel","2018 Tesla Model 3","civilian_import","carros_reais","85000","pillboxgarage",,"0","core_work","land","t1","4","basic_work","light_work","yes","yes","yes","Candidato a carro popular de entrega / frota urbana."
"nzp","Nissan 370z Pandem","civilian_import","carros_reais","85000","pillboxgarage",,"0","core_work","land","t1","4","basic_work","light_work","yes","yes","yes","Candidato a carro popular de entrega / frota urbana."
"esprit02","2002 Lotus Esprit V8","civilian_import","carros_reais","89000","pillboxgarage",,"0","core_work","land","t1","4","basic_work","light_work","yes","yes","yes","Candidato a carro popular de entrega / frota urbana."
"fk8","2018 Honda Civic Type-R (FK8)","civilian_import","carros_reais","89000","pillboxgarage",,"0","core_work","land","t1","4","basic_work","light_work","yes","yes","yes","Candidato a carro popular de entrega / frota urbana."
"svj63","Lamborghini Aventador SVJ","hypercars_import","carros_reais","1150000","pillboxgarage",,"0","status_hyper","land","hx","1","hyper","hyper","yes","no","no","Hiperesportivo; item de prestigio com carga simbolica."
"regalia","Quartz Regalia 723","hypercars_import","carros_reais","1250000","pillboxgarage",,"0","status_hyper","land","hx","1","hyper","hyper","yes","no","no","Hiperesportivo; item de prestigio com carga simbolica."
"it18","2017 Italdesign Zerouno","hypercars_import","carros_reais","1450000","pillboxgarage",,"0","status_hyper","land","hx","1","hyper","hyper","yes","no","no","Hiperesportivo; item de prestigio com carga simbolica."
"senna","2019 McLaren Senna","hypercars_import","carros_reais","1480000","pillboxgarage",,"0","status_hyper","land","hx","1","hyper","hyper","yes","no","no","Hiperesportivo; item de prestigio com carga simbolica."
"lambose","Lamborghini Sesto Elemento","hypercars_import","carros_reais","2100000","pillboxgarage",,"0","status_hyper","land","hx","1","hyper","hyper","yes","no","no","Hiperesportivo; item de prestigio com carga simbolica."
"gtr96","1996 McLaren F1 GTR","hypercars_import","carros_reais","2400000","pillboxgarage",,"0","status_hyper","land","hx","1","hyper","hyper","yes","no","no","Hiperesportivo; item de prestigio com carga simbolica."
"mig","Ferrari Enzo","hypercars_import","carros_reais","2800000","pillboxgarage",,"0","status_hyper","land","hx","1","hyper","hyper","yes","no","no","Hiperesportivo; item de prestigio com carga simbolica."
"wmfenyr","W-Motors Fenyr Supersport","hypercars_import","carros_reais","2800000","pillboxgarage",,"0","status_hyper","land","hx","1","hyper","hyper","yes","no","no","Hiperesportivo; item de prestigio com carga simbolica."
"mcst","2020 McLaren Speedtail","hypercars_import","carros_reais","2900000","pillboxgarage",,"0","status_hyper","land","hx","1","hyper","hyper","yes","no","no","Hiperesportivo; item de prestigio com carga simbolica."
"laferrari","2015 Ferrari LaFerrari","hypercars_import","carros_reais","3200000","pillboxgarage",,"0","status_hyper","land","hx","1","hyper","hyper","yes","no","no","Hiperesportivo; item de prestigio com carga simbolica."
"lykan","W-Motors Lykan HyperSport","hypercars_import","carros_reais","3200000","pillboxgarage",,"0","status_hyper","land","hx","1","hyper","hyper","yes","no","no","Hiperesportivo; item de prestigio com carga simbolica."
"veneno","2013 Lamborghini Veneno LP750-4","hypercars_import","carros_reais","3400000","pillboxgarage",,"0","status_hyper","land","hx","1","hyper","hyper","yes","no","no","Hiperesportivo; item de prestigio com carga simbolica."
"regera","Koenigsegg Regera","hypercars_import","carros_reais","3600000","pillboxgarage",,"0","status_hyper","land","hx","1","hyper","hyper","yes","no","no","Hiperesportivo; item de prestigio com carga simbolica."
"agerars","2017 Koenigsegg Agera RS","hypercars_import","carros_reais","3800000","pillboxgarage",,"0","status_hyper","land","hx","1","hyper","hyper","yes","no","no","Hiperesportivo; item de prestigio com carga simbolica."
"fxxk","Ferrari FXX-K Hybrid Hypercar","hypercars_import","carros_reais","4500000","pillboxgarage",,"0","status_hyper","land","hx","1","hyper","hyper","yes","no","no","Hiperesportivo; item de prestigio com carga simbolica."
"bolide","2020 Bugatti Bolide","hypercars_import","carros_reais","4800000","pillboxgarage",,"0","status_hyper","land","hx","1","hyper","hyper","yes","no","no","Hiperesportivo; item de prestigio com carga simbolica."
"sultanrs","Karin Sultan RS","race","vanilla_or_mixed","145000","pillboxgarage",,"0","status_light","land","s1","3","sport","sport","yes","no","no","Corrida/status; utilidade logistica limitada."
"elegy","Annis Elegy RH8","race","vanilla_or_mixed","165000","pillboxgarage",,"0","status_light","land","s1","3","sport","sport","yes","no","no","Corrida/status; utilidade logistica limitada."
"jester","Dinka Jester","race","vanilla_or_mixed","185000","pillboxgarage",,"0","status_light","land","s1","3","sport","sport","yes","no","no","Corrida/status; utilidade logistica limitada."
"kuruma","Karin Kuruma","race","vanilla_or_mixed","195000","pillboxgarage",,"0","status_light","land","s1","3","sport","sport","yes","no","no","Corrida/status; utilidade logistica limitada."
"ninef","Obey 9F","race","vanilla_or_mixed","210000","pillboxgarage",,"0","status_light","land","s1","3","sport","sport","yes","no","no","Corrida/status; utilidade logistica limitada."
"comet2","Pfister Comet","race","vanilla_or_mixed","220000","pillboxgarage",,"0","status_light","land","s1","3","sport","sport","yes","no","no","Corrida/status; utilidade logistica limitada."
"banshee","Bravado Banshee","race","vanilla_or_mixed","240000","pillboxgarage",,"0","status_light","land","s1","3","sport","sport","yes","no","no","Corrida/status; utilidade logistica limitada."
"massacro","Dewbauchee Massacro","race","vanilla_or_mixed","280000","pillboxgarage",,"0","status_light","land","s1","3","sport","sport","yes","no","no","Corrida/status; utilidade logistica limitada."
"m3e36","1997 BMW M3 E36","sports_import","carros_reais","65000","pillboxgarage",,"0","status_light","land","s2","4","sport","sport","yes","no","no","Carga leve premium; custo por pacote pior que frota profissional."
"corvettec5z06","Chevrolet Corvette C5 Z06","sports_import","carros_reais","90000","pillboxgarage",,"0","status_light","land","s2","4","sport","sport","yes","no","no","Carga leve premium; custo por pacote pior que frota profissional."
"m3e92","2008 BMW M3 e92","sports_import","carros_reais","98000","pillboxgarage",,"0","status_light","land","s2","4","sport","sport","yes","no","no","Carga leve premium; custo por pacote pior que frota profissional."
"mustang50th","2015 Ford Mustang GT 50 Years","sports_import","carros_reais","110000","pillboxgarage",,"0","status_light","land","s2","4","sport","sport","yes","no","no","Carga leve premium; custo por pacote pior que frota profissional."
"toysupmk4","1998 Toyota Supra Turbo (A80)","sports_import","carros_reais","115000","pillboxgarage",,"0","status_light","land","s2","4","sport","sport","yes","no","no","Carga leve premium; custo por pacote pior que frota profissional."
"ttrs","2010 Audi TT RS","sports_import","carros_reais","115000","pillboxgarage",,"0","status_light","land","s2","4","sport","sport","yes","no","no","Carga leve premium; custo por pacote pior que frota profissional."
"rcf","2015 Lexus RCF","sports_import","carros_reais","115000","pillboxgarage",,"0","status_light","land","s2","4","sport","sport","yes","no","no","Carga leve premium; custo por pacote pior que frota profissional."
"z419","2019 BMW Z4 M40i","sports_import","carros_reais","120000","pillboxgarage",,"0","status_light","land","s2","4","sport","sport","yes","no","no","Carga leve premium; custo por pacote pior que frota profissional."
"99viper","1999 Dodge Viper GTS ACR","sports_import","carros_reais","125000","pillboxgarage",,"0","status_light","land","s2","4","sport","sport","yes","no","no","Carga leve premium; custo por pacote pior que frota profissional."
"m2","2016 BMW M2","sports_import","carros_reais","125000","pillboxgarage",,"0","status_light","land","s2","4","sport","sport","yes","no","no","Carga leve premium; custo por pacote pior que frota profissional."
"czr1","2009 Chevrolet Corvette ZR1","sports_import","carros_reais","135000","pillboxgarage",,"0","status_light","land","s2","4","sport","sport","yes","no","no","Carga leve premium; custo por pacote pior que frota profissional."
"models","2016 Tesla Model S P90D","sports_import","carros_reais","135000","pillboxgarage",,"0","status_light","land","s2","4","sport","sport","yes","no","no","Carga leve premium; custo por pacote pior que frota profissional."
"2020ss","2020 Chevrolet Camaro SS","sports_import","carros_reais","135000","pillboxgarage",,"0","status_light","land","s2","4","sport","sport","yes","no","no","Carga leve premium; custo por pacote pior que frota profissional."
"m3f80","2015 BMW M3 (F80)","sports_import","carros_reais","145000","pillboxgarage",,"0","status_light","land","s2","4","sport","sport","yes","no","no","Carga leve premium; custo por pacote pior que frota profissional."
"teslapd","2017 Tesla Model S Prior design","sports_import","carros_reais","148000","pillboxgarage",,"0","status_light","land","s2","4","sport","sport","yes","no","no","Carga leve premium; custo por pacote pior que frota profissional."
"m4f82","2015 BMW M4 F82","sports_import","carros_reais","155000","pillboxgarage",,"0","status_light","land","s2","4","sport","sport","yes","no","no","Carga leve premium; custo por pacote pior que frota profissional."
"718caymans","Porsche 718 Cayman S","sports_import","carros_reais","155000","pillboxgarage",,"0","status_light","land","s2","4","sport","sport","yes","no","no","Carga leve premium; custo por pacote pior que frota profissional."
"c7","2014 Chevrolet Corvette C7 Stingray","sports_import","carros_reais","165000","pillboxgarage",,"0","status_light","land","s2","4","sport","sport","yes","no","no","Carga leve premium; custo por pacote pior que frota profissional."
"chr20","Dodge Charger Hellcat Widebody 2021","sports_import","carros_reais","165000","pillboxgarage",,"0","status_light","land","s2","4","sport","sport","yes","no","no","Carga leve premium; custo por pacote pior que frota profissional."
"skyline","Nissan Skyline GT-R (BNR34)","sports_import","carros_reais","165000","pillboxgarage",,"0","status_light","land","s2","4","sport","sport","yes","no","no","Carga leve premium; custo por pacote pior que frota profissional."
"demon","2018 Dodge Challenger SRT Demon","sports_import","carros_reais","195000","pillboxgarage",,"0","status_light","land","s2","5","sport","sport","yes","no","no","Carga leve premium; custo por pacote pior que frota profissional."
"m6f13","BMW M6 F13 Shadow Line","sports_import","carros_reais","195000","pillboxgarage",,"0","status_light","land","s2","5","sport","sport","yes","no","no","Carga leve premium; custo por pacote pior que frota profissional."
"rs6","2016 Audi RS6 C7","sports_import","carros_reais","220000","pillboxgarage",,"0","status_light","land","s3","5","sport","sport","yes","no","no","Carga leve premium; custo por pacote pior que frota profissional."
"stingray","2020 Chevrolet Corvette C8 Stingray","sports_import","carros_reais","220000","pillboxgarage",,"0","status_light","land","s3","5","sport","sport","yes","no","no","Carga leve premium; custo por pacote pior que frota profissional."
"rs72020","2020 Audi RS7","sports_import","carros_reais","245000","pillboxgarage",,"0","status_light","land","s3","5","sport","sport","yes","no","no","Carga leve premium; custo por pacote pior que frota profissional."
"ast","2013 Aston Martin Vanquish","sports_import","carros_reais","265000","pillboxgarage",,"0","status_light","land","s3","6","sport","sport","yes","no","no","Carga leve premium; custo por pacote pior que frota profissional."
"gtr","2017 Nissan GTR","sports_import","carros_reais","280000","pillboxgarage",,"0","status_light","land","s3","6","sport","sport","yes","no","no","Carga leve premium; custo por pacote pior que frota profissional."
"taycan","2020 Porsche Taycan Turbo S","sports_import","carros_reais","290000","pillboxgarage",,"0","status_light","land","s3","6","sport","sport","yes","no","no","Carga leve premium; custo por pacote pior que frota profissional."
"gtrc","2017 R35 Nissan GTR Convertible","sports_import","carros_reais","295000","pillboxgarage",,"0","status_light","land","s3","6","sport","sport","yes","no","no","Carga leve premium; custo por pacote pior que frota profissional."
"tr22","2020 Tesla Roadster","sports_import","carros_reais","320000","pillboxgarage",,"0","status_light","land","s3","6","sport","sport","yes","no","no","Carga leve premium; custo por pacote pior que frota profissional."
"mp412c","McLaren MP4-12C","supercars_import","carros_reais","380000","pillboxgarage",,"0","status_super","land","ss","2","exotic","exotic","yes","no","no","Supercarro; transporte quase simbolico."
"fct","2015 Ferrari California T","supercars_import","carros_reais","390000","pillboxgarage",,"0","status_super","land","ss","2","exotic","exotic","yes","no","no","Supercarro; transporte quase simbolico."
"f430s","Ferrari F430 Scuderia","supercars_import","carros_reais","410000","pillboxgarage",,"0","status_super","land","ss","2","exotic","exotic","yes","no","no","Supercarro; transporte quase simbolico."
"amggtrr20","2020 Mercedes-Benz AMG GT-R","supercars_import","carros_reais","420000","pillboxgarage",,"0","status_super","land","ss","2","exotic","exotic","yes","no","no","Supercarro; transporte quase simbolico."
"r8ppi","2013 Audi R8 V10","supercars_import","carros_reais","430000","pillboxgarage",,"0","status_super","land","ss","2","exotic","exotic","yes","no","no","Supercarro; transporte quase simbolico."
"fgt","2005 Ford GT","supercars_import","carros_reais","450000","pillboxgarage",,"0","status_super","land","ss","2","exotic","exotic","yes","no","no","Supercarro; transporte quase simbolico."
"yFe458i1","Ferrari 458 Italia","supercars_import","carros_reais","450000","pillboxgarage",,"0","status_super","land","ss","2","exotic","exotic","yes","no","no","Supercarro; transporte quase simbolico."
"r820","2020 Audi R8","supercars_import","carros_reais","480000","pillboxgarage",,"0","status_super","land","ss","2","exotic","exotic","yes","no","no","Supercarro; transporte quase simbolico."
"650s","McLaren 650S Coupe","supercars_import","carros_reais","480000","pillboxgarage",,"0","status_super","land","ss","2","exotic","exotic","yes","no","no","Supercarro; transporte quase simbolico."
"wraith","Rolls-Royce Wraith","supercars_import","carros_reais","480000","pillboxgarage",,"0","status_super","land","ss","2","exotic","exotic","yes","no","no","Supercarro; transporte quase simbolico."
"yFe458s1","Ferrari 458 Spider","supercars_import","carros_reais","495000","pillboxgarage",,"0","status_super","land","ss","2","exotic","exotic","yes","no","no","Supercarro; transporte quase simbolico."
"675lt","2016 McLaren 675LT Coupe","supercars_import","carros_reais","520000","pillboxgarage",,"0","status_super","land","ss","2","exotic","exotic","yes","no","no","Supercarro; transporte quase simbolico."
"dawnonyx","2016 Rolls-Royce Dawn Onyx","supercars_import","carros_reais","520000","pillboxgarage",,"0","status_super","land","ss","2","exotic","exotic","yes","no","no","Supercarro; transporte quase simbolico."
"huracanst","Lamborghini Huracan Super Trofeo","supercars_import","carros_reais","540000","pillboxgarage",,"0","status_super","land","ss","2","exotic","exotic","yes","no","no","Supercarro; transporte quase simbolico."
"yFe458i2","Ferrari 458 Speciale","supercars_import","carros_reais","580000","pillboxgarage",,"0","status_super","land","ss","2","exotic","exotic","yes","no","no","Supercarro; transporte quase simbolico."
"rculi","Rolls Royce Cullinan","supercars_import","carros_reais","580000","pillboxgarage",,"0","status_super","land","ss","2","exotic","exotic","yes","no","no","Supercarro; transporte quase simbolico."
"lp670sv","2009 Lamborghini Murcielago SV","supercars_import","carros_reais","590000","pillboxgarage",,"0","status_super","land","ss","2","exotic","exotic","yes","no","no","Supercarro; transporte quase simbolico."
"cgt","2003 Porsche Carrera GT (980)","supercars_import","carros_reais","620000","pillboxgarage",,"0","status_super","land","ss","2","exotic","exotic","yes","no","no","Supercarro; transporte quase simbolico."
"yFe458s2","Ferrari 458 Speciale Aperta","supercars_import","carros_reais","640000","pillboxgarage",,"0","status_super","land","ss","2","exotic","exotic","yes","no","no","Supercarro; transporte quase simbolico."
"720s","2017 McLaren 720S","supercars_import","carros_reais","650000","pillboxgarage",,"0","status_super","land","ss","1","exotic","exotic","yes","no","no","Supercarro; transporte quase simbolico."
"lp700r","2013 Lamborghini Aventador LP700-4","supercars_import","carros_reais","680000","pillboxgarage",,"0","status_super","land","ss","1","exotic","exotic","yes","no","no","Supercarro; transporte quase simbolico."
"rrphantom","2018 Rolls-Royce Phantom VIII","supercars_import","carros_reais","680000","pillboxgarage",,"0","status_super","land","ss","1","exotic","exotic","yes","no","no","Supercarro; transporte quase simbolico."
"gt17","2017 Ford GT","supercars_import","carros_reais","750000","pillboxgarage",,"0","status_super","land","ss","1","exotic","exotic","yes","no","no","Supercarro; transporte quase simbolico."
"yFeF12T","Ferrari F12 TRS Roadster","supercars_import","carros_reais","790000","pillboxgarage",,"0","status_super","land","ss","1","exotic","exotic","yes","no","no","Supercarro; transporte quase simbolico."
"yFeF12A","Ferrari F60 America","supercars_import","carros_reais","850000","pillboxgarage",,"0","status_super","land","ss","1","exotic","exotic","yes","no","no","Supercarro; transporte quase simbolico."
"f812","2018 Ferrari 812 Superfast","supercars_import","carros_reais","890000","pillboxgarage",,"0","status_super","land","ss","1","exotic","exotic","yes","no","no","Supercarro; transporte quase simbolico."
"lrrr","1973 Land Rover Range Rover","suv_offroad","carros_reais","32000","pillboxgarage",,"2","premium_functional","land","pf2","2","premium_utility","premium_utility","yes","yes","no","Carga leve premium; estilo acima da eficiencia bruta. Capacidade atual no config: 2."
"jeepreneg","Jeep Renegade","suv_offroad","carros_reais","38000","pillboxgarage",,"0","premium_functional","land","pf2","5","premium_utility","premium_utility","yes","yes","no","Carga leve premium; estilo acima da eficiencia bruta."
"09tahoe","2009 Chevrolet Tahoe","suv_offroad","carros_reais","45000","pillboxgarage",,"0","core_work","land","t2","6","commercial","utility_work","yes","yes","yes","Utilitario de trabalho com apelo visual mais forte."
"jeep2012","2012 Jeep Wrangler","suv_offroad","carros_reais","48000","pillboxgarage",,"0","premium_functional","land","pf2","5","premium_utility","premium_utility","yes","yes","no","Carga leve premium; estilo acima da eficiencia bruta."
"Safari97","1997 Nissan Patrol Super Y60","suv_offroad","carros_reais","58000","pillboxgarage",,"0","core_work","land","t2","6","commercial","utility_work","yes","yes","yes","Utilitario de trabalho com apelo visual mais forte."
"ram2500","2015 Dodge RAM 2500","suv_offroad","carros_reais","65000","pillboxgarage",,"4","core_work","land","t2","6","commercial","utility_work","yes","yes","yes","Utilitario de trabalho com apelo visual mais forte. Capacidade atual no config: 4."
"f150","2012 Ford F150 SVT Raptor R","suv_offroad","carros_reais","68000","pillboxgarage",,"3","core_work","land","t2","6","commercial","utility_work","yes","yes","yes","Utilitario de trabalho com apelo visual mais forte. Capacidade atual no config: 3."
"v250","Mercedes-Benz V-class 250","suv_offroad","carros_reais","68000","pillboxgarage",,"0","core_work","land","t2","6","commercial","utility_work","yes","yes","yes","Utilitario de trabalho com apelo visual mais forte."
"15tahoe","2015 Chevrolet Tahoe","suv_offroad","carros_reais","75000","pillboxgarage",,"0","core_work","land","t2","6","commercial","utility_work","yes","yes","yes","Utilitario de trabalho com apelo visual mais forte."
"rrevoque","Range Rover Evoque","suv_offroad","carros_reais","85000","pillboxgarage",,"0","premium_functional","land","pf2","5","premium_utility","premium_utility","yes","yes","no","Carga leve premium; estilo acima da eficiencia bruta."
"srt8","2015 Jeep SRT-8","suv_offroad","carros_reais","95000","pillboxgarage",,"3","premium_functional","land","pf2","3","premium_utility","premium_utility","yes","yes","no","Carga leve premium; estilo acima da eficiencia bruta. Capacidade atual no config: 3."
"nissantitan17","2017 Nissan Titan Warrior","suv_offroad","carros_reais","95000","pillboxgarage",,"4","core_work","land","t2","6","commercial","utility_work","yes","yes","yes","Utilitario de trabalho com apelo visual mais forte. Capacidade atual no config: 4."
"raptor2017","2017 Ford Raptor","suv_offroad","carros_reais","98000","pillboxgarage",,"3","core_work","land","t2","6","commercial","utility_work","yes","yes","yes","Utilitario de trabalho com apelo visual mais forte. Capacidade atual no config: 3."
"xc90","Volvo XC90 T8","suv_offroad","carros_reais","110000","pillboxgarage",,"3","core_work","land","t2","6","commercial","utility_work","yes","yes","yes","Utilitario de trabalho com apelo visual mais forte. Capacidade atual no config: 3."
"tahoe21","2021 Chevrolet Tahoe RST","suv_offroad","carros_reais","115000","pillboxgarage",,"3","core_work","land","t2","6","commercial","utility_work","yes","yes","yes","Utilitario de trabalho com apelo visual mais forte. Capacidade atual no config: 3."
"wildtrak","2021 Ford Bronco Wildtrak","suv_offroad","carros_reais","115000","pillboxgarage",,"3","core_work","land","t2","6","commercial","utility_work","yes","yes","yes","Utilitario de trabalho com apelo visual mais forte. Capacidade atual no config: 3."
"vxr","2016 Toyota Land Cruiser VXR","suv_offroad","carros_reais","125000","pillboxgarage",,"0","core_work","land","t3","8","commercial","utility_work","yes","yes","yes","Utilitario de trabalho com apelo visual mais forte."
"sq72016","2016 Audi SQ7","suv_offroad","carros_reais","135000","pillboxgarage",,"0","premium_functional","land","pf2","5","premium_utility","premium_utility","yes","yes","no","Carga leve premium; estilo acima da eficiencia bruta."
"trx","2017 Dodge RAM 1500 Rebel TRX","suv_offroad","carros_reais","135000","pillboxgarage",,"4","core_work","land","t3","6","commercial","utility_work","yes","yes","yes","Utilitario de trabalho com apelo visual mais forte. Capacidade atual no config: 4."
"pm19","2019 Porsche Macan Turbo","suv_offroad","carros_reais","145000","pillboxgarage",,"0","premium_functional","land","pf2","5","premium_utility","premium_utility","yes","yes","no","Carga leve premium; estilo acima da eficiencia bruta."
"fpacehm","Jaguar F-pace 2017 Hamann","suv_offroad","carros_reais","145000","pillboxgarage",,"0","premium_functional","land","pf2","5","premium_utility","premium_utility","yes","yes","no","Carga leve premium; estilo acima da eficiencia bruta."
"gl63","Mercedes-Benz GL63 AMG","suv_offroad","carros_reais","145000","pillboxgarage",,"0","premium_functional","land","pf2","5","premium_utility","premium_utility","yes","yes","no","Carga leve premium; estilo acima da eficiencia bruta."
